נהר הירדן,שנה,נוסעים,רכבים,מטענים
נהר הירדן,2004,"354,577","35,396",30250
נהר הירדן,2005,"381,388","37,773",31829
נהר הירדן,2006,"345,517","32,254",31471
נהר הירדן,2007,"446,374","36,895",29605
נהר הירדן,2008,"506,773","39,872",32161
נהר הירדן,2009,"427,237","35,230",20952
נהר הירדן,2010,"499,331","34,442",18890
יצחק רבין,2004,"139,572","2,935",2966
יצחק רבין,2005,"212,534","4,240",972
יצחק רבין,2006,"205,422","3,459",891
יצחק רבין,2007,"313,771","5,617",2123
יצחק רבין,2008,"439,356","7,016",2039
יצחק רבין,2009,"361,883","5,162",1458
יצחק רבין,2010,"465,059","8,007",1544
מסוף טאבה,2004,"991,421","48,692",
מסוף טאבה,2005,"783,672","27,170",
מסוף טאבה,2006,"648,542","22,546",
מסוף טאבה,2007,"1,145,422","36,297",
מסוף טאבה,2008,"1,433,892","21,936",
מסוף טאבה,2009,"1,140,968","16,834",
מסוף טאבה,2010,"1,480,931","15,010",
מסוף אלנבי,2004,"853,752","8,625",
מסוף אלנבי,2005,"1,058,526","9,767",
מסוף אלנבי,2006,"1,056,814","10,159",
מסוף אלנבי,2007,"1,278,729","11,455",
מסוף אלנבי,2008,"1,501,474","13,634",
מסוף אלנבי,2009,"1,481,757","13,014",
מסוף אלנבי,2010,"1,679,845","14,360",
מסוף ניצנה,2004,"5,567",,
מסוף ניצנה,2005,"6,018",,
מסוף ניצנה,2006,"9,926",,
מסוף ניצנה,2007,"10,875",,
מסוף ניצנה,2008,"11,652",,
מסוף ניצנה,2009,"11,824",,
מסוף ניצנה,2010,"11,264",,
